name,description,url,createdAt,updatedAt,stargazers,watchers,forks,issues,pullRequests,releases,branches,tags,commitComments
freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2023-12-13T21:29:54Z,30,30,30,30,30,0,10,0,30
free-programming-books,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2023-12-13T21:22:06Z,30,30,30,30,16,0,30,0,30
awesome,ðŸ˜Ž Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,2023-12-13T21:54:30Z,30,30,30,30,30,0,2,0,30
coding-interview-university,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,2023-12-13T21:23:33Z,30,30,30,30,12,0,1,0,25
public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,2023-12-13T21:55:16Z,30,30,30,30,30,0,2,0,30
996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,2023-12-13T20:05:37Z,30,30,30,1,1,0,1,0,30
developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2023-12-13T21:50:18Z,30,30,30,30,30,1,30,4,30
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,2023-12-13T21:53:15Z,30,30,30,30,30,0,2,0,27
build-your-own-x,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2023-12-13T21:52:58Z,30,30,30,30,30,0,1,0,8
react,The library for web and native user interfaces.,https://github.com/facebook/react,2013-05-24T16:15:54Z,2023-12-13T20:26:24Z,30,30,30,30,30,30,30,30,30
